filename,title,author,source_format,original_url,
importance-obligatory-prayer-fasting.xhtml,The Importance of Obligatory Prayer and Fasting,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/importance-obligatory-prayer-fasting/importance-obligatory-prayer-fasting.docx,
importance-prayer-meditation-devotional-attitude.xhtml,The Importance of Prayer Meditation and the Devotional Attitude,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/importance-prayer-meditation-devotional-attitude/importance-prayer-meditation-devotional-attitude.docx,
institution-mashriqul-adhkar.xhtml,The Institution of the Mashriqu'l-Adhkar,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/institution-mashriqul-adhkar/institution-mashriqul-adhkar.docx,
issues-related-study-bahai-faith.xhtml,Issues Related to the Study of the Baha'i Faith,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/issues-related-study-bahai-faith/issues-related-study-bahai-faith.docx,
kitab-i-aqdas.xhtml,The Kitab-i-Aqdas,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/kitab-i-aqdas/kitab-i-aqdas.docx,
kitab-i-iqan.xhtml,The Kitab-i-Iqan,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/kitab-i-iqan/kitab-i-iqan.docx,
light-of-the-world.xhtml,Light of the World,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/light-of-the-world/light-of-the-world.docx,
local-spiritual-assembly.xhtml,The Local Spiritual Assembly,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/local-spiritual-assembly/local-spiritual-assembly.docx,
memorials-faithful.xhtml,Memorials of the Faithful,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/memorials-faithful/memorials-faithful.docx,
muhj-1963-1986.docx,Messages from the Universal House of Justice 1963-1986 The Third Epoch,Universal House of Justice,docx,https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/muhj-1963-1986/muhj-1963-1986.docx,
muhj-1986-2001.pdf,Messages from the Universal House of Justice 1986-2000 the Fourth Epoch,Universal House of Justice,pdf,https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/muhj-1986-2001/muhj-1986-2001.pdf,
muhj-2001-2022.docx,Messages from the Universal House of Justice 2001-2022 The Fifth Epoch,Universal House of Justice,docx,https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/muhj-2001-2022/muhj-2001-2022.docx,
music.xhtml,Music,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/music/music.docx,
national-spiritual-assembly.xhtml,The National Spiritual Assembly,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/national-spiritual-assembly/national-spiritual-assembly.docx,
